"","x","y","r"
"1","test_lang_c.artificial","speech_type_d.synthesized",1
"2","study_type_MB","speech_type_b.naturalistic",0.771214134874397
"3","study_type_MA","speech_type_a.simulated",0.670515368926048
"4","test_lang_a.native","native_lang_english",0.649938951755159
"5","test_lang_c.artificial","method_c.other",0.645982378306643
"6","study_type_MB","mean_agec",0.606000683800801
"7","presentation_a.tape recording","dependent_measure_a.preference",0.559325247497008
"8","speech_type_b.naturalistic","mean_agec",0.558544370184481
"9","speech_type_a.simulated","main_question_ids_preference_b.no",0.52331493707556
"10","speech_type_b.naturalistic","main_question_ids_preference_a.yes",0.511766315719159
"11","native_lang_cantonese","presentation_b.video recording",0.497232961600038
"12","study_type_MA","presentation_b.video recording",0.467426352442803
"13","study_type_MB","test_lang_b.nonnative",0.459659742564147
"14","test_lang_b.nonnative","speech_type_b.naturalistic",0.440958551844098
"15","test_lang_b.nonnative","native_lang_german",0.415526016638666
"16","study_type_MA","test_lang_a.native",0.400336485561854
"17","test_lang_a.native","speech_type_a.simulated",0.399036459785281
"18","study_type_MA","main_question_ids_preference_b.no",0.394681416435209
"19","native_lang_cantonese","dependent_measure_b.affect",0.356492798661784
"20","study_type_MA","native_lang_english",0.334693184612203
"21","study_type_MA","method_c.other",0.310563021892558
"22","native_lang_english","speech_type_a.simulated",0.305030187759554
"23","test_lang_b.nonnative","mean_agec",0.303433578939394
"24","native_lang_dutch","method_b.hpp",0.285449612859225
"25","test_lang_b.nonnative","native_lang_french",0.245769576155712
"26","speech_type_a.simulated","presentation_b.video recording",0.243349871799816
"27","study_type_MB","native_lang_german",0.237586089601916
"28","test_lang_a.native","main_question_ids_preference_b.no",0.23488242396233
"29","study_type_MA","native_lang_cantonese",0.232419789555038
"30","method_b.hpp","mean_agec",0.232230479440502
"31","test_lang_b.nonnative","main_question_ids_preference_a.yes",0.22566773346211
"32","test_lang_b.nonnative","native_lang_dutch",0.223606797749979
"33","main_question_ids_preference_a.yes","mean_agec",0.222631845811111
"34","native_lang_korean","method_b.hpp",0.21964884255349
"35","method_b.hpp","presentation_a.tape recording",0.209358947339656
"36","study_type_MA","test_lang_c.artificial",0.200618239496253
"37","test_lang_b.nonnative","native_lang_japanese",0.199336648255529
"38","speech_type_b.naturalistic","presentation_a.tape recording",0.188561808316413
"39","method_a.cf","presentation_b.video recording",0.186358877465534
"40","native_lang_german","speech_type_b.naturalistic",0.183229750550533
"41","native_lang_english","main_question_ids_preference_b.no",0.179548079193568
"42","test_lang_b.nonnative","native_lang_korean",0.172061800402921
"43","method_a.cf","dependent_measure_b.affect",0.154525878671561
"44","native_lang_german","mean_agec",0.153200126998901
"45","presentation_a.tape recording","mean_agec",0.147881402220709
"46","study_type_MB","method_b.hpp",0.145395818145026
"47","native_lang_english","method_c.other",0.141281022433223
"48","study_type_MB","native_lang_french",0.14052413135116
"49","speech_type_a.simulated","dependent_measure_b.affect",0.140149491431129
"50","test_lang_b.nonnative","native_lang_hungarian",0.140028008402801
"51","method_b.hpp","dependent_measure_a.preference",0.139100303194833
"52","test_lang_a.native","native_lang_cantonese",0.138317441040358
"53","test_lang_b.nonnative","own_mother_a.no",0.132891098837019
"54","study_type_MB","native_lang_dutch",0.12785207798919
"55","native_lang_swissgerman","mean_agec",0.125236355709311
"56","native_lang_turkish","mean_agec",0.124800099572422
"57","native_lang_french","mean_agec",0.124695881682783
"58","native_lang_cantonese","method_a.cf",0.115644393150182
"59","study_type_MB","native_lang_japanese",0.113975089108721
"60","speech_type_c.filtered","main_question_ids_preference_b.no",0.113481984237756
"61","native_lang_german","presentation_a.tape recording",0.111053999253773
